problem_id,attempt_id,worker,target_claim,predecessors,tokens,attempt_duration_seconds,verifier,fact_id,in_final_closure,repeated_target,downstream_use
putnam-2023-b1,afaf8ab89fa007e0,high,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,88944,530.432297,PASS,48d558819514bf7a,yes,exact (7),0
putnam-2023-b1,2576afeba219c609,high2,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,83439,415.442152,PASS,e228e681543f2d1f,no,exact (7),0
putnam-2023-b1,f562ac0d49300017,high3,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,84201,475.525421,PASS,98c977737ca2d39e,no,exact (7),0
putnam-2023-b1,0f228eb8f9cfc60b,xhigh,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,100198,527.864862,PASS,68da0a7380632702,no,exact (7),0
putnam-2023-b1,907c6f5d9f393edb,xhigh2,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,193422,577.702006,PASS,e4b6fc8fdb25987f,no,exact (7),0
putnam-2023-b1,4c74e0fc0befcbad,xhigh3,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,145830,743.084731,PASS,c81ac61714428573,no,exact (7),0
putnam-2023-b1,ad9f42328d46d400,xhigh4,"Consider an \(m\)-by-\(n\) grid of unit squares, indexed by \((i,j)\) with \(1\le i\le m\) and \(1\le j\le n\). There are \((m-1)(n-1)\) coins, which are initially placed in the squares \((i,j)\) with \(1\le i\le m-1\) and \(1\le j\le n-1\). If a coin occupies the square \((i,j)\) with \(i\le m-1\) and \(j\le n-1\), and the squares \((i+1,j)\), \((i,j+1)\), and \((i+1,j+1)\) are unoccupied, then a legal move is to slide the coin from \((i,j)\) to \((i+1,j+1)\). How many distinct configurations of coins can be reached from the initial configuration by a possibly empty sequence of legal moves?",,135253,467.71198,PASS,67bc05401db02c4c,no,exact (7),0
putnam-2024-a1,46f88c889d431a52,high,"Determine all positive integers \(n\) for which there exist positive integers \(a\), \(b\), and \(c\) satisfying

\[
2a^n+3b^n=4c^n.
\]",,66204,339.212039,PASS,8ea06c2590646e22,no,exact (6),0
putnam-2024-a1,646cda6f2ba57195,high2,"Determine all positive integers \(n\) for which there exist positive integers \(a\), \(b\), and \(c\) satisfying

\[
2a^n+3b^n=4c^n.
\]",,88818,392.361253,PASS,ed933f62aef0416e,no,exact (6),0
putnam-2024-a1,7c0fe981be7fd8e5,high3,"Determine all positive integers \(n\) for which there exist positive integers \(a\), \(b\), and \(c\) satisfying

\[
2a^n+3b^n=4c^n.
\]",,100729,404.99705,PASS,def86f00ef4b9faa,no,exact (6),0
